molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL93166,CHEMBL3563,IC50,20.0,nM,CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL90197,CHEMBL3563,IC50,270.0,nM,NC(=S)N1CCC(c2cccc(Cl)c2)=N1,trypanosoma_cruzi
CHEMBL90866,CHEMBL3563,IC50,220.0,nM,CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,trypanosoma_cruzi
CHEMBL89974,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL92375,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1cccc(F)c1,trypanosoma_cruzi
CHEMBL93490,CHEMBL3563,IC50,10000.0,nM,N/C(S)=N/N=C/c1cccc(Cl)c1Cl,trypanosoma_cruzi
CHEMBL91201,CHEMBL3563,IC50,10000.0,nM,C/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi
CHEMBL60430,CHEMBL5131,Ki,43000.0,nM,CN(C)CCCNC(=O)CNC(=O)C(CCSCC(NC(=O)OCc1ccccc1)C(=O)NCC(=O)NCCCN(C)C)NC(=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL302322,CHEMBL5131,Ki,92000.0,nM,CN(C)CCCNC(=O)CNC(=O)C(CSCC(NC(=O)OCc1ccccc1)C(=O)NCC(=O)NCCCN(C)C)NC(=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL3142832,CHEMBL3563,Ki,220.0,nM,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccccc1)C(=O)NC(=O)NN1CCOCC1,trypanosoma_cruzi
CHEMBL3142835,CHEMBL3563,Ki,360.0,nM,O=C(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccccc1)NN1CCOCC1,trypanosoma_cruzi
CHEMBL291997,CHEMBL5131,Ki,31000.0,nM,CN(C)CCCNC(=O)CNC(=O)C(CSCSCC(NC(=O)OCc1ccccc1)C(=O)NCC(=O)NCCCN(C)C)NC(=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL3142836,CHEMBL3563,Ki,48.0,nM,O=C(NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccc2ccccc2c1)NN1CCOCC1,trypanosoma_cruzi
CHEMBL100017,CHEMBL3563,Ki,384.0,nM,CC(C)N1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,trypanosoma_cruzi
CHEMBL103238,CHEMBL3563,Ki,2.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1)OCc1ccccc1,trypanosoma_cruzi
CHEMBL100895,CHEMBL3563,Ki,983.0,nM,COCCN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,trypanosoma_cruzi
CHEMBL100849,CHEMBL3563,Ki,4.2,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCc1ccccc1)OCc1ccccc1,trypanosoma_cruzi
CHEMBL100702,CHEMBL3563,Ki,53.2,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL321974,CHEMBL3563,Ki,1.1,nM,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CSCCCc1ccccc1,trypanosoma_cruzi
CHEMBL316864,CHEMBL3563,Ki,16.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCCc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL316864,CHEMBL3563,Ki,16.3,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCCc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL419727,CHEMBL3563,Ki,202.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(Cc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL419727,CHEMBL3563,Ki,202.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(Cc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL100702,CHEMBL3563,Ki,53.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCc2ccccc2)CC1=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL321988,CHEMBL3563,Ki,44.0,nM,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCc1ccccc1)OCc1ccccc1,trypanosoma_cruzi
CHEMBL105708,CHEMBL3563,Ki,274.0,nM,CC(C)CN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,trypanosoma_cruzi
