molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL2093479,CHEMBL612893,IC50,3.58,ug.mL-1,COc1ccc(Cl)cc1C(=O)NCCOc1ccc2nnc(-c3ccc(F)cc3)n2n1,schistosoma_mansoni
CHEMBL2093482,CHEMBL612893,IC50,3.15,ug.mL-1,O=C(CCC1CCCCC1)N1CCN(c2ccc(-c3cccnc3)nn2)CC1,schistosoma_mansoni
CHEMBL2093486,CHEMBL612893,IC50,2.36,ug.mL-1,O=C(c1ccccc1F)N1CCN(c2ccc(-c3ccccn3)nn2)CC1,schistosoma_mansoni
CHEMBL2093494,CHEMBL612893,IC50,2.79,ug.mL-1,O=S(=O)(c1ccccc1Cl)N1CCN(c2ccc(-c3ccco3)nn2)CC1,schistosoma_mansoni
CHEMBL361497,CHEMBL612893,IC50,38700.0,nM,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,schistosoma_mansoni
CHEMBL2170333,CHEMBL612893,IC50,13400.0,nM,Cc1ccc(CC23CCC4(C)O[C@]2(C)OO[C@]3(C)O4)cc1,schistosoma_mansoni
CHEMBL2170332,CHEMBL612893,IC50,92200.0,nM,CCOC(=O)CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni
CHEMBL2169892,CHEMBL612893,IC50,134900.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccccc1,schistosoma_mansoni
CHEMBL2170317,CHEMBL612893,IC50,112000.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccc([N+](=O)[O-])cc1,schistosoma_mansoni
CHEMBL2170316,CHEMBL612893,IC50,89800.0,nM,C[C@]12OO[C@](C)(OO1)C2CC(Br)CBr,schistosoma_mansoni
CHEMBL2170516,CHEMBL612893,IC50,174000.0,nM,C=CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2169887,CHEMBL612893,IC50,91900.0,nM,C[C@]12OO[C@](C)(OO1)C2CC1CO1,schistosoma_mansoni
CHEMBL2170515,CHEMBL612893,IC50,127000.0,nM,Cc1ccc(CC2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni
CHEMBL2170514,CHEMBL612893,IC50,12900.0,nM,CC(c1ccccc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170513,CHEMBL612893,IC50,47700.0,nM,CC(c1ccc(Br)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170512,CHEMBL612893,IC50,39300.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NC12CC3CC(CC(C3)C1)C2,schistosoma_mansoni
CHEMBL2170511,CHEMBL612893,IC50,41200.0,nM,Cc1ccc(C(C)C2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni
CHEMBL2170510,CHEMBL612893,IC50,159000.0,nM,CCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170509,CHEMBL612893,IC50,25300.0,nM,CC(c1ccc(Cl)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170508,CHEMBL612893,IC50,27300.0,nM,CCCCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170361,CHEMBL612893,IC50,17900.0,nM,CC(C)(C)OOC(C#N)(C#N)Cc1ccc(Cl)cc1,schistosoma_mansoni
CHEMBL976,CHEMBL612893,IC50,100.0,nM,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,schistosoma_mansoni
CHEMBL361497,CHEMBL612893,IC50,38700.0,nM,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,schistosoma_mansoni
CHEMBL2170339,CHEMBL612893,IC50,11700.0,nM,COc1ccc([C@]23OO[C@@]4(C)OC(C)(CCC42)O3)cc1,schistosoma_mansoni
CHEMBL2170338,CHEMBL612893,IC50,109000.0,nM,CC12CCC3(Cc4ccccc4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170337,CHEMBL612893,IC50,7700.0,nM,CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2,schistosoma_mansoni
CHEMBL2170336,CHEMBL612893,IC50,19200.0,nM,CC12CCC3[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170335,CHEMBL612893,IC50,12200.0,nM,CC12CCC3(Cc4ccc([N+](=O)[O-])cc4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni
CHEMBL2170334,CHEMBL612893,IC50,82400.0,nM,C#CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni
CHEMBL2170333,CHEMBL612893,IC50,103000.0,nM,Cc1ccc(CC23CCC4(C)O[C@]2(C)OO[C@]3(C)O4)cc1,schistosoma_mansoni
CHEMBL2170332,CHEMBL612893,IC50,105000.0,nM,CCOC(=O)CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni
CHEMBL2170331,CHEMBL612893,IC50,8700.0,nM,CC12CCC3[C@@](C)(OO[C@]3(c3ccc(Br)cc3)O1)O2,schistosoma_mansoni
CHEMBL2170327,CHEMBL612893,IC50,117000.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCC1,schistosoma_mansoni
CHEMBL2170326,CHEMBL612893,IC50,103700.0,nM,CCOC(=O)CNC(=O)CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni
CHEMBL2170325,CHEMBL612893,IC50,102000.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NCc1ccccc1,schistosoma_mansoni
