molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL54078,CHEMBL367,IC50,100000.0,nM,CCCCCCN(CCCCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL52905,CHEMBL367,IC50,48000.0,nM,CCCCN(CCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL52127,CHEMBL367,IC50,26000.0,nM,CCCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani
CHEMBL53698,CHEMBL367,IC50,11000.0,nM,CCN(CC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL52478,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL51916,CHEMBL367,IC50,47000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL54551,CHEMBL367,IC50,43000.0,nM,CCCN(CCC)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,leishmania_donovani
CHEMBL431345,CHEMBL367,IC50,50000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CCCC2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL52017,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL55225,CHEMBL367,IC50,2600.0,nM,CCCCN(CCCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL53153,CHEMBL367,IC50,5000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL54094,CHEMBL367,IC50,60000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccn2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL52597,CHEMBL367,IC50,23000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL298397,CHEMBL367,IC50,21000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)c2ccccc2)cc1[N+](=O)[O-],leishmania_donovani
CHEMBL295960,CHEMBL367,IC50,65000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],leishmania_donovani
