molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL541368,CHEMBL367,IC50,450000.0,nM,CCN(CC)CCNS(=O)(=O)c1cc(C(F)(F)F)ccc1F.Cl,leishmania_donovani,3.3467874862246565
CHEMBL298362,CHEMBL367,IC50,43000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CC2)cc1[N+](=O)[O-],leishmania_donovani,4.366531544420414
CHEMBL298794,CHEMBL367,IC50,54000.0,nM,CCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.267606240177032
CHEMBL298774,CHEMBL367,IC50,8100.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-],leishmania_donovani,5.0915149811213505
CHEMBL55,CHEMBL367,IC50,2000.0,nM,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,leishmania_donovani,5.698970004336019
CHEMBL52182,CHEMBL367,IC50,32000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(C)cc2)cc1[N+](=O)[O-],leishmania_donovani,4.494850021680094
CHEMBL51330,CHEMBL367,IC50,55000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CCC)CCC)cc1[N+](=O)[O-],leishmania_donovani,4.259637310505756
CHEMBL53263,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC)cc1[N+](=O)[O-],leishmania_donovani,4.0
CHEMBL296401,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],leishmania_donovani,4.0
CHEMBL53423,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NCC)cc1[N+](=O)[O-],leishmania_donovani,4.0
CHEMBL54078,CHEMBL367,IC50,100000.0,nM,CCCCCCN(CCCCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.0
CHEMBL52905,CHEMBL367,IC50,48000.0,nM,CCCCN(CCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.318758762624412
CHEMBL52127,CHEMBL367,IC50,26000.0,nM,CCCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,leishmania_donovani,4.585026652029182
CHEMBL53698,CHEMBL367,IC50,11000.0,nM,CCN(CC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],leishmania_donovani,4.958607314841775
CHEMBL52478,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1[N+](=O)[O-],leishmania_donovani,4.0
CHEMBL51916,CHEMBL367,IC50,47000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],leishmania_donovani,4.327902142064283
CHEMBL54551,CHEMBL367,IC50,43000.0,nM,CCCN(CCC)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,leishmania_donovani,4.366531544420414
CHEMBL431345,CHEMBL367,IC50,50000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CCCC2)cc1[N+](=O)[O-],leishmania_donovani,4.301029995663981
CHEMBL52017,CHEMBL367,IC50,100000.0,nM,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],leishmania_donovani,4.0
