molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL2170511,CHEMBL612893,IC50,600.0,nM,Cc1ccc(C(C)C2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni,6.221848749616356
CHEMBL2170510,CHEMBL612893,IC50,500.0,nM,CCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,6.301029995663981
CHEMBL2170509,CHEMBL612893,IC50,400.0,nM,CC(c1ccc(Cl)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,6.3979400086720375
CHEMBL2170508,CHEMBL612893,IC50,200.0,nM,CCCCCCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,6.698970004336019
CHEMBL2170507,CHEMBL612893,IC50,100.0,nM,C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2,schistosoma_mansoni,7.0
CHEMBL2170506,CHEMBL612893,IC50,293000.0,nM,CC(C)C(C#N)(C#N)OOC(C)(C)C,schistosoma_mansoni,3.5331323796458904
CHEMBL2170505,CHEMBL612893,IC50,157000.0,nM,CCOC(=O)CC(C)C(C#N)(C#N)OOC(C)(C)C,schistosoma_mansoni,3.804100347590766
CHEMBL2170504,CHEMBL612893,IC50,10700.0,nM,CC(C)(C)OOC(C#N)(C#N)C1CCCC1,schistosoma_mansoni,4.97061622231479
CHEMBL2170503,CHEMBL612893,IC50,8000.0,nM,COc1ccc(CC(C#N)(C#N)OOC(C)(C)C)cc1,schistosoma_mansoni,5.096910013008056
CHEMBL2170362,CHEMBL612893,IC50,5000.0,nM,CC(C)(C)OOC(C#N)(C#N)Cc1ccccc1,schistosoma_mansoni,5.301029995663981
CHEMBL2170361,CHEMBL612893,IC50,3900.0,nM,CC(C)(C)OOC(C#N)(C#N)Cc1ccc(Cl)cc1,schistosoma_mansoni,5.4089353929735005
CHEMBL2170360,CHEMBL612893,IC50,67700.0,nM,CCOC(=O)C(C#N)(Cc1ccccc1)OOC(C)(C)C,schistosoma_mansoni,4.169411331314856
CHEMBL2170359,CHEMBL612893,IC50,43200.0,nM,C=CCC(C#N)(OOC(C)(C)C)C(=O)OCC,schistosoma_mansoni,4.364516253185088
CHEMBL2170358,CHEMBL612893,IC50,37800.0,nM,CCOC(=O)C(C#N)(CC(C)=O)OOC(C)(C)C,schistosoma_mansoni,4.422508200162775
CHEMBL2170357,CHEMBL612893,IC50,9000.0,nM,CCOC(=O)C(C#N)(Cc1ccc(Cl)cc1)OOC(C)(C)C,schistosoma_mansoni,5.045757490560675
CHEMBL2170356,CHEMBL612893,IC50,14600.0,nM,CCOC(=O)C(Cc1ccccc1)(OOC(C)(C)C)C(=O)OCC,schistosoma_mansoni,4.835647144215563
CHEMBL2170355,CHEMBL612893,IC50,111000.0,nM,CCOC(=O)C(CCC#N)(OOC(C)(C)C)C(C)=O,schistosoma_mansoni,3.9546770212133424
CHEMBL2170354,CHEMBL612893,IC50,26500.0,nM,CCCCC(OOC(C)(C)C)(C(C)=O)C(=O)OCC,schistosoma_mansoni,4.576754126063192
